Date : 2025-03-29 23:51:54
Directory : c:\Users\HP\Documents\Ecommer\EcommercePanel
Total : 1589 files,  198271 codes, 4848 comments, 15965 blanks, all 219084 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript         |        368 |     65,113 |      2,350 |      2,929 |     70,392 |
| CSS                |        100 |     57,807 |        257 |     10,478 |     68,542 |
| XML                |      1,013 |     51,333 |        325 |        865 |     52,523 |
| JSON               |          5 |     13,301 |          2 |          4 |     13,307 |
| HTML               |         37 |      6,523 |      1,896 |        895 |      9,314 |
| TypeScript         |         64 |      4,149 |         17 |        779 |      4,945 |
| JSON with Comments |          1 |         31 |          1 |          1 |         33 |
| Markdown           |          1 |         14 |          0 |         14 |         28 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |      1,589 |    198,271 |      4,848 |     15,965 |    219,084 |
| . (Files)                                                                                                                       |          8 |     13,386 |          9 |         30 |     13,425 |
| src                                                                                                                             |      1,581 |    184,885 |      4,839 |     15,935 |    205,659 |
| src (Files)                                                                                                                     |          4 |        108 |          6 |         14 |        128 |
| src\app                                                                                                                         |        133 |     10,544 |      1,904 |      1,688 |     14,136 |
| src\app (Files)                                                                                                                 |          7 |        225 |          0 |         30 |        255 |
| src\app\components                                                                                                              |        116 |      9,894 |      1,904 |      1,551 |     13,349 |
| src\app\components\almacen                                                                                                      |          8 |        414 |         99 |         88 |        601 |
| src\app\components\almacen\create-almacen                                                                                       |          4 |        163 |         48 |         37 |        248 |
| src\app\components\almacen\index-almacen                                                                                        |          4 |        251 |         51 |         51 |        353 |
| src\app\components\categorias                                                                                                   |          9 |        781 |        174 |         85 |      1,040 |
| src\app\components\categorias\create-categoria                                                                                  |          3 |        238 |         53 |         17 |        308 |
| src\app\components\categorias\edit-categoria                                                                                    |          3 |        256 |         54 |         18 |        328 |
| src\app\components\categorias\index-categoria                                                                                   |          3 |        287 |         67 |         50 |        404 |
| src\app\components\cupon                                                                                                        |         12 |      1,126 |        240 |        168 |      1,534 |
| src\app\components\cupon\create-cupon                                                                                           |          4 |        407 |         99 |         68 |        574 |
| src\app\components\cupon\edit-cupon                                                                                             |          4 |        495 |        101 |         69 |        665 |
| src\app\components\cupon\index-cupon                                                                                            |          4 |        224 |         40 |         31 |        295 |
| src\app\components\dashboard                                                                                                    |          3 |        183 |         14 |         30 |        227 |
| src\app\components\egresos                                                                                                      |          8 |        490 |         46 |         89 |        625 |
| src\app\components\egresos\egreso-create                                                                                        |          4 |        463 |         46 |         78 |        587 |
| src\app\components\egresos\egreso-detalles                                                                                      |          4 |         27 |          0 |         11 |         38 |
| src\app\components\ingresos                                                                                                     |          9 |      1,191 |        184 |        202 |      1,577 |
| src\app\components\ingresos\create-ingresos                                                                                     |          3 |        533 |         46 |         69 |        648 |
| src\app\components\ingresos\detalle-ingresos                                                                                    |          3 |        340 |         81 |         69 |        490 |
| src\app\components\ingresos\index-ingresos                                                                                      |          3 |        318 |         57 |         64 |        439 |
| src\app\components\inventario                                                                                                   |          6 |        525 |         81 |        104 |        710 |
| src\app\components\inventario\detalle-inventario                                                                                |          3 |        204 |          7 |         40 |        251 |
